ID;RS_ID;time;insect_log;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; valid; posErrX; posErrY; posErrZ; velX; velY; velZ; accX; accY; accZ; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch; dt; dx; dy; dz; velx_sp; vely_sp; velz_sp;
587;588;2019/09/06 18:52:53;0;-1;-1;-1;-1;-1;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;451.667;134.333;10.3421;452.332;136.735;0;31;1;-0.137757;-0.688503;-1.99671;-0.146175;-0.672053;-1.99252;0.182056;-0.394706;0.25298;-0.502065;3.42851;-3.92572;0;0.0356339;0.938503;1.5;-0.0356339;-0.938503;-1.81119;-1.05249;19.4233;-1.05249;675;650;1024;1024;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.0712678;1.22005;2.55; 
588;589;2019/09/06 18:52:53;0;-1;-1;-1;-1;-1;131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;450;135;10.2799;451.186;137.819;0;32;1;-0.130499;-0.695375;-2.00701;-0.141472;-0.67905;-1.99687;0.186219;-0.387643;0.162718;-0.586967;2.73967;-4.53343;0;0.0323126;0.945375;1.5;-0.0323126;-0.945375;-1.87057;-1.15515;19.5655;-1.15515;675;650;1024;1024;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.0646252;1.22899;2.55; 
589;590;2019/09/06 18:52:53;0;-1;-1;-1;-1;-1;132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;448.333;135.667;10.418;449.847;138.749;0;33;1;-0.120787;-0.688836;-1.97867;-0.135267;-0.681986;-1.99141;0.199905;-0.372046;0.103124;-0.528472;2.17257;-4.87227;0;0.0193458;0.938836;1.5;-0.0193458;-0.938836;-1.89003;-1.53153;19.4302;-1.53153;675;650;1024;1024;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.0386916;1.22049;2.55; 
590;591;2019/09/06 18:52:53;0;401.152;317.879;8.3168;401.152;317.879;0;1;1;0.131782;-1.77861;-1.8814;0.131782;-1.77861;-1.8814;0;0;0;0;0;0;445.6;136.8;10.4165;448.031;139.715;0;34;1;-0.107711;-0.693485;-1.976;-0.127;-0.685436;-1.98679;0.22971;-0.35148;0.0831739;-0.321339;1.74489;-4.77546;1;0.129291;-0.835122;0.0377496;0.00249117;-0.943485;-1.91915;0.274282;-17.2837;0.274282;696.902;650;1024;1024;1024;863;1024;1024;1024;1;3;0;9.86811;0;0;0;0.258582;-1.08566;0.0641744; 
591;592;2019/09/06 18:52:53;0;403.933;313.8;8.30372;401.404;317.508;0;2;1;0.115273;-1.76088;-1.89775;0.126829;-1.77329;-1.88631;0;0;0;0;0;0;443;137;10.4486;445.912;140.414;0;35;1;-0.0949621;-0.692148;-1.96939;-0.117389;-0.687449;-1.98157;0.278148;-0.324808;0.0897811;0.0782456;1.47675;-4.26229;1;0.124338;-0.829803;0.0328438;0.00249117;-0.943485;-1.91915;0.18018;-17.1736;0.18018;696.902;650;1024;1024;1024;863;1024;1024;1024;1;3;0;0.0166968;0;0;0;0.248676;-1.07874;0.0558345; 
592;593;2019/09/06 18:52:53;0;407;310;8.28952;402.304;316.301;0;3;1;0.0970099;-1.74473;-1.9135;0.117883;-1.76472;-1.89446;0;0;0;0;0;0;440;137.429;10.2718;443.448;140.991;0;36;1;-0.0820234;-0.705811;-2.00216;-0.106779;-0.692958;-1.98775;0.338588;-0.306496;0.06575;0.636946;1.29474;-3.67885;1;0.115392;-0.821236;0.0246866;0.00249117;-0.943485;-1.91915;0.0102105;-16.9963;0.0102105;696.902;650;1024;1024;1024;863;1024;1024;1024;1;3;0;0.0166978;0;0;0;0.230785;-1.06761;0.0419672; 
593;594;2019/09/06 18:52:53;0;409.935;306.387;8.3084;403.892;314.238;0;4;1;0.0791591;-1.72259;-1.921;0.106266;-1.75208;-1.90242;0;0;0;0;0;0;438.4;137.2;10.3159;441.179;141.274;0;37;1;-0.0739333;-0.701868;-1.99421;-0.0969254;-0.695631;-1.98968;0.399789;-0.278033;0.050764;1.25149;1.24267;-3.01468;1;0.103775;-0.808597;0.0167252;0.00249117;-0.943485;-1.91915;-0.210518;-16.7347;-0.210518;696.902;650;847;888;1024;863;1024;1024;1024;1;3;0;0.0166968;0;0;0;0.20755;-1.05118;0.0284328; 
594;595;2019/09/06 18:52:53;0;412.909;302.182;8.31896;406.039;311.368;0;5;1;0.0612221;-1.69928;-1.93234;0.0927529;-1.73624;-1.9114;0;0;0;0;0;0;435.6;137.2;10.3918;438.674;141.417;0;38;1;-0.0599479;-0.696738;-1.97963;-0.0858321;-0.695963;-1.98667;0.462024;-0.234347;0.0711704;1.85208;1.35766;-2.17432;1;0.106816;-0.789502;0.0624083;-0.0140628;-0.946738;-1.97381;-2.35973;-16.3395;-2.35973;696.902;650;847;888;1024;863;1024;1024;1024;1;3;0;0.0166978;0;0;0;0.213631;-1.02635;0.106094; 
595;596;2019/09/06 18:52:53;0;415.871;298.581;8.34538;408.564;308.083;0;6;1;0.0433182;-1.67586;-1.93799;0.0779225;-1.71813;-1.91938;0;0;0;0;0;0;432;137;10.4652;435.748;141.397;0;39;1;-0.0423621;-0.691054;-1.96627;-0.0727911;-0.69449;-1.98055;0.526656;-0.190533;0.0860524;2.41584;1.5393;-1.37275;1;0.0673206;-0.777072;0.0387412;0.0106019;-0.941054;-1.95812;-3.72414;-16.0823;-3.72414;696.902;650;847;888;1024;863;1024;1024;1024;1;3;0;0.016697;0;0;0;0.134641;-1.01019;0.0658601; 
596;597;2019/09/06 18:52:53;0;418.938;294.375;8.3429;411.356;304.394;0;7;1;0.0249898;-1.65529;-1.9523;0.0620427;-1.69928;-1.92925;0;0;0;0;0;0;430;136.571;10.4747;433.024;141.187;0;40;1;-0.032796;-0.688716;-1.9656;-0.0607926;-0.692758;-1.97607;0.580335;-0.143555;0.0944281;2.84942;1.75375;-0.778719;1;0.0344411;-0.760559;0.0264809;0.0276016;-0.938716;-1.95573;-4.8588;-15.7405;-4.8588;696.902;650;847;888;1024;863;1024;1024;1024;1;3;0;0.0166978;0;0;0;0.0688822;-0.988727;0.0450176; 
