ID;RS_ID;insect_log;imLx_drone;imLy_drone;disparity_drone;imLx_pred_drone;imLy_pred_drone;n_frames_lost_drone;n_frames_tracking_drone;foundL_drone;posX_drone;posY_drone;posZ_drone;sposX_drone;sposY_drone;sposZ_drone;svelX_drone;svelY_drone;svelZ_drone;saccX_drone;saccY_drone;saccZ_drone;imLx_insect;imLy_insect;disparity_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;svelX_insect;svelY_insect;svelZ_insect;saccX_insect;saccY_insect;saccZ_insect;valid;posErrX;posErrY;posErrZ;velX;velY;velZ;accX;accY;accZ;hoverthrottle;autoThrottle;autoRoll;autoPitch;autoYaw;joyThrottle;joyRoll;joyPitch;joyYaw;joyArmSwitch;joyModeSwitch;joyTakeoffSwitch;dt;dx;dy;dz;velx_sp;vely_sp;velz_sp;Unnamed: 73;time
677.0;678.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;422.667;56.6667;9.6579;420.949;55.457;0.0;121.0;1.0;0.00231973;-0.40115100000000004;-2.35735;0.013480200000000003;-0.410225;-2.36827;-0.0805934;0.155142;-0.175256;-0.819227;0.388387;1.24265;0.0;0.0053847999999999995;0.651151;1.5;-0.0053847999999999995;-0.651151;-2.40428;0.8679479999999999;13.4762;0.8679479999999999;696.9019999999999;693.0;1042.0;1303.0;1024.0;592.0;1024.0;1024.0;1024.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.010769599999999999;0.8464959999999999;2.55;;1970-01-01 00:00:01.914
677.0;678.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;422.667;56.6667;9.6579;420.949;55.457;0.0;121.0;1.0;0.00231973;-0.40115100000000004;-2.35735;0.013480200000000003;-0.410225;-2.36827;-0.0805934;0.155142;-0.175256;-0.819227;0.388387;1.24265;0.0;0.0053847999999999995;0.651151;1.5;-0.0053847999999999995;-0.651151;-2.40428;0.8679479999999999;13.4762;0.8679479999999999;696.9019999999999;693.0;1042.0;1303.0;1024.0;592.0;1024.0;1024.0;1024.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.010769599999999999;0.8464959999999999;2.55;;1970-01-01 00:00:01.925
678.0;679.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;46.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;424.667;55.3333;9.59932;422.30400000000003;54.6243;0.0;122.0;1.0;-0.00806263;-0.397793;-2.37553;0.00701737;-0.406495;-2.37045;-0.138413;0.162416;-0.159978;-1.40676;0.360185;0.860941;0.0;0.0284439;0.6477930000000001;1.5;-0.0284439;-0.6477930000000001;-2.41985;1.85535;13.4067;1.85535;696.9019999999999;697.0;1062.0;1306.0;1024.0;592.0;1024.0;1024.0;1024.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.05688769999999999;0.842131;2.55;;1970-01-01 00:00:01.936
679.0;680.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;47.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;425.333;54.6667;9.554689999999999;423.49199999999996;53.8429;0.0;123.0;1.0;-0.0115821;-0.396735;-2.38852;0.00143753;-0.403567;-2.37587;-0.187291;0.161469;-0.201349;-1.89914;0.266212;0.16868699999999998;0.0;0.0469341;0.6467350000000001;1.5;-0.0469341;-0.6467350000000001;-2.42938;2.67102;13.3848;2.67102;696.9019999999999;228.0;1062.0;1306.0;1024.0;559.0;1024.0;1024.0;1024.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0938682;0.8407549999999999;2.55;;1970-01-01 00:00:01.947
680.0;681.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;48.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;427.0;53.0;9.50792;424.874;52.7794;0.0;124.0;1.0;-0.020386099999999997;-0.39136;-2.40505;-0.00510955;-0.399905;-2.38463;-0.23556100000000002;0.171931;-0.222908;-2.29296;0.22509899999999997;-0.391733;0.0;0.0693058;0.64136;1.5;-0.0693058;-0.64136;-2.45764;3.55464;13.2736;3.55464;696.9019999999999;228.0;1062.0;1306.0;1024.0;508.0;1024.0;1024.0;1024.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13861199999999999;0.833767;2.55;;1970-01-01 00:00:01.958
680.0;681.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;48.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;427.0;53.0;9.50792;424.874;52.7794;0.0;124.0;1.0;-0.020386099999999997;-0.39136;-2.40505;-0.00510955;-0.399905;-2.38463;-0.23556100000000002;0.171931;-0.222908;-2.29296;0.22509899999999997;-0.391733;0.0;0.0693058;0.64136;1.5;-0.0693058;-0.64136;-2.45764;3.55464;13.2736;3.55464;696.9019999999999;228.0;1062.0;1306.0;1024.0;508.0;1024.0;1024.0;1024.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13861199999999999;0.833767;2.55;;1970-01-01 00:00:01.969
681.0;682.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;49.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;428.0;53.0;9.58394;426.18300000000005;52.0437;0.0;125.0;1.0;-0.025431;-0.388255;-2.38598;-0.011206;-0.39641;-2.38503;-0.271283;0.18415399999999998;-0.208698;-2.50821;0.250105;-0.571415;0.0;0.0693058;0.64136;1.5;-0.0693058;-0.64136;-2.45764;3.55464;13.2736;3.55464;696.9019999999999;228.0;1062.0;1306.0;1024.0;449.0;1024.0;1024.0;1024.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13861199999999999;0.833767;2.55;;1970-01-01 00:00:01.980
682.0;683.0;0.0;429.0;51.0;9.51302;429.0;51.0;0.0;1.0;1.0;-0.030866;-0.382362;-2.4094900000000004;-0.030866;-0.382362;-2.4094900000000004;0.0;0.0;0.0;0.0;0.0;0.0;428.0;53.0;9.58394;428.865;52.2469;0.0;125.0;1.0;-0.025431;-0.388255;-2.38598;-0.011206;-0.39641;-2.38503;-0.271283;0.18415399999999998;-0.208698;-2.50821;0.250105;-0.571415;1.0;0.0384399;0.258997;0.0481524;-0.0693058;-0.64136;-2.45764;2.96818;5.3602099999999995;2.96818;696.9019999999999;228.0;1062.0;1306.0;1024.0;440.0;1024.0;1024.0;1024.0;1.0;0.0;0.0;0.8348690000000001;0.0;0.0;0.0;0.0768798;0.33669699999999997;0.0818592;;1970-01-01 00:00:01.991
682.0;683.0;0.0;429.0;51.0;9.51302;429.0;51.0;0.0;1.0;1.0;-0.030866;-0.382362;-2.4094900000000004;-0.030866;-0.382362;-2.4094900000000004;0.0;0.0;0.0;0.0;0.0;0.0;428.0;53.0;9.58394;428.865;52.2469;0.0;125.0;1.0;-0.025431;-0.388255;-2.38598;-0.011206;-0.39641;-2.38503;-0.271283;0.18415399999999998;-0.208698;-2.50821;0.250105;-0.571415;1.0;0.0384399;0.258997;0.0481524;-0.0693058;-0.64136;-2.45764;2.96818;5.3602099999999995;2.96818;696.9019999999999;228.0;1062.0;1306.0;1024.0;440.0;1024.0;1024.0;1024.0;1.0;0.0;0.0;0.8348690000000001;0.0;0.0;0.0;0.0768798;0.33669699999999997;0.0818592;;1970-01-01 00:00:02.002
683.0;684.0;0.0;430.25;50.25;9.54162;429.11400000000003;50.9318;0.0;2.0;1.0;-0.0373106;-0.377931;-2.40441;-0.0327993;-0.381033;-2.40797;0.0;0.0;0.0;0.0;0.0;0.0;428.0;53.0;9.58394;428.865;52.2469;0.0;125.0;1.0;-0.025431;-0.388255;-2.38598;-0.011206;-0.39641;-2.38503;-0.271283;0.18415399999999998;-0.208698;-2.50821;0.250105;-0.571415;1.0;0.0365065;0.260327;0.0496759;-0.0693058;-0.64136;-2.45764;2.93145;5.38772;2.93145;696.9019999999999;228.0;1062.0;1306.0;1024.0;381.0;1024.0;1024.0;1024.0;1.0;0.0;0.0;0.016696799999999998;0.0;0.0;0.0;0.073013;0.338425;0.08444910000000001;;1970-01-01 00:00:02.013
684.0;685.0;0.0;430.667;49.7778;9.603530000000001;429.36300000000006;50.7463;0.0;3.0;1.0;-0.039235;-0.37343899999999997;-2.39025;-0.034730000000000004;-0.378754;-2.40265;0.0;0.0;0.0;0.0;0.0;0.0;428.0;53.0;9.58394;428.865;52.2469;0.0;125.0;1.0;-0.025431;-0.388255;-2.38598;-0.011206;-0.39641;-2.38503;-0.271283;0.18415399999999998;-0.208698;-2.50821;0.250105;-0.571415;1.0;0.034575800000000004;0.26260500000000003;0.0549908;-0.0693058;-0.64136;-2.45764;2.8947700000000003;5.43487;2.8947700000000003;696.9019999999999;228.0;1062.0;1306.0;1024.0;297.0;1024.0;1024.0;1024.0;1.0;0.0;0.0;0.0166978;0.0;0.0;0.0;0.06915160000000001;0.341386;0.0934843;;1970-01-01 00:00:02.024
684.0;685.0;0.0;430.667;49.7778;9.603530000000001;429.36300000000006;50.7463;0.0;3.0;1.0;-0.039235;-0.37343899999999997;-2.39025;-0.034730000000000004;-0.378754;-2.40265;0.0;0.0;0.0;0.0;0.0;0.0;428.0;53.0;9.58394;428.865;52.2469;0.0;125.0;1.0;-0.025431;-0.388255;-2.38598;-0.011206;-0.39641;-2.38503;-0.271283;0.18415399999999998;-0.208698;-2.50821;0.250105;-0.571415;1.0;0.034575800000000004;0.26260500000000003;0.0549908;-0.0693058;-0.64136;-2.45764;2.8947700000000003;5.43487;2.8947700000000003;696.9019999999999;228.0;1062.0;1306.0;1024.0;297.0;1024.0;1024.0;1024.0;1.0;0.0;0.0;0.0166978;0.0;0.0;0.0;0.06915160000000001;0.341386;0.0934843;;1970-01-01 00:00:02.035
685.0;686.0;0.0;431.0;49.0;9.56856;429.704;50.3829;0.0;4.0;1.0;-0.0411167;-0.371406;-2.4012;-0.036646;-0.37655;-2.4022200000000002;0.0;0.0;0.0;0.0;0.0;0.0;428.0;53.0;9.58394;428.865;52.2469;0.0;125.0;1.0;-0.025431;-0.388255;-2.38598;-0.011206;-0.39641;-2.38503;-0.271283;0.18415399999999998;-0.208698;-2.50821;0.250105;-0.571415;1.0;0.0326598;0.26481;0.0554256;-0.0693058;-0.64136;-2.45764;2.85836;5.4805;2.85836;696.9019999999999;228.0;1062.0;1306.0;1024.0;229.0;1024.0;1024.0;1024.0;1.0;0.0;0.0;0.016696799999999998;0.0;0.0;0.0;0.0653196;0.344252;0.0942236;;1970-01-01 00:00:02.046
