rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
277480;3087.640373;266;268;70.3158;2.82843;0.0140986;29;265.537;268.543;0;12;1;1;0.219921;-0.359256;-0.461112;0.226356;-0.362193;-0.45823;1;-0.400342;0.1226;-0.152521;1;-0.601245;0.524361;-0.0507203;0.00191218;fp_not_a_fp;-1;0.205619;
277481;3087.651500;270;266;70.2243;4.47214;0.0629464;41;269.501;266.438;0;13;1;1;0.214812;-0.357445;-0.463246;0.221827;-0.360215;-0.460132;1;-0.408379;0.133232;-0.159902;1;-0.299725;1.06883;-0.290398;0.00302737;fp_not_a_fp;-1;0.205624;
277482;3087.662627;274;266;70.0162;4;0.060171;30;273.544;264.31;0;14;1;1;0.210019;-0.358475;-0.464646;0.217458;-0.359085;-0.462029;1;-0.414553;0.108828;-0.158595;1;0.0286927;0.283405;-0.349054;0.00271582;fp_not_a_fp;-1;0.205549;
277483;3087.673756;276;264;69.8978;2.82843;0.0216468;34;277.607;264.507;0;15;1;1;0.207674;-0.356808;-0.466962;0.213107;-0.357996;-0.463992;1;-0.391104;0.103963;-0.164373;1;0.178362;-0.119274;-0.395132;0.00192362;fp_not_a_fp;-1;0.205613;
277484;3087.684883;280;262;69.6822;4.47214;0.0592635;26;279.425;262.528;0;16;1;1;0.202879;-0.355614;-0.469951;0.208846;-0.357085;-0.466201;1;-0.386495;0.102374;-0.180063;1;0.311046;-0.454432;-0.618786;0.00305092;fp_not_a_fp;-1;0.205628;
277485;3087.696010;282;262;69.5286;2;0.0741905;27;283.409;260.475;0;17;1;1;0.200592;-0.356384;-0.471001;0.205291;-0.35682;-0.46814;1;-0.361503;0.0798413;-0.175611;1;1.05311;-1.19956;-0.352929;0.00136743;fp_not_a_fp;-1;0.205635;
277486;3087.707138;286;260;69.5216;2.82843;0.0191598;34;285.188;260.679;0;18;1;1;0.195162;-0.354117;-0.472597;0.201577;-0.355731;-0.470128;1;-0.367304;0.0863268;-0.169663;1;1.06151;-0.50554;-0.248668;0.00193403;fp_not_a_fp;-1;0.205604;
277487;3087.718266;288;258;69.6327;2.82843;0.0221432;29;289.197;258.648;0;19;1;1;0.19214;-0.35127;-0.473378;0.197693;-0.354346;-0.471732;1;-0.357494;0.110634;-0.154519;1;0.755128;0.149867;0.221378;0.00193094;fp_not_a_fp;-1;0.205609;
277488;3087.729393;292;258;69.439;2.82843;0.0292406;24;291.055;256.551;0;20;1;1;0.187199;-0.352216;-0.47472;0.193774;-0.353497;-0.472924;1;-0.364477;0.0957176;-0.14394;1;0.494698;-0.149558;0.811587;0.00193633;fp_not_a_fp;-1;0.205609;
277489;3087.740521;296;256;69.5002;4.47214;0.0534369;20;295.103;256.73;0;21;1;1;0.181583;-0.349603;-0.475851;0.189021;-0.351801;-0.474137;1;-0.385252;0.107299;-0.134173;1;-0.533529;0.616858;0.930971;0.00305891;fp_not_a_fp;-1;0.205601;
277490;3087.751648;298;256;69.3636;2;0.0815802;25;299.273;254.679;0;22;1;1;0.179199;-0.350275;-0.4768;0.18503;-0.350841;-0.475187;1;-0.372021;0.0906938;-0.123895;1;-0.105944;0.0980934;1.02827;0.00137068;fp_not_a_fp;-1;0.205569;
