ID;RS_ID;time;insect_log;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; dtrkr_state;imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; trkrs_state;interceptor_state;hunt_vol_check;nav_state;valid; flight_mode;target_pos_x; target_pos_y; target_pos_z; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch;dt; heading; Sheading;
2685;2688;2019/11/20 17:01:00;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;306.4;39.2;5.71511;306.381;36.1334;0;1;1;1.02867;0.285444;-4.06528;1.00552;0.298537;-4.09882;0.13734;-0.0790386;0.922388;1.6001;-0.898566;-0.212171;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2686;2689;2019/11/20 17:01:00;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;305;39;5.78843;305.247;36.9258;0;2;1;1.02773;0.295268;-4.01479;1.01218;0.297557;-4.07361;0.171088;-0.0952194;0.827118;2.43505;-1.59558;-7.46786;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2687;2690;2019/11/20 17:01:00;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;304;39;5.67752;304.173;37.4192;0;3;1;1.0566;0.282479;-4.09322;1.02551;0.293033;-4.07949;0.175844;-0.0812661;0.895277;-0.957693;0.914123;6.01377;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2688;2691;2019/11/20 17:01:00;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;304;39.4286;5.62388;303.45;37.8955;0;4;1;1.06668;0.27301;-4.13005;1.03786;0.287026;-4.09466;0.201716;-0.0794965;0.85456;-0.48501;0.82446;2.94393;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2689;2692;2019/11/20 17:01:00;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;304;39.4286;5.62388;302.782;37.7365;1;0;1;1.06668;0.27301;-4.13005;1.03786;0.287026;-4.09466;0.201716;-0.0794965;0.85456;-0.48501;0.82446;2.94393;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2690;2693;2019/11/20 17:01:00;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;301;41;6.03471;301.42;38.8495;0;1;1;1.0189;0.308497;-3.84135;1.03217;0.293467;-4.01867;0.187116;-0.048784;1.12212;-0.286784;0.618802;4.90323;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2691;2694;2019/11/20 17:01:00;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;299;41;5.74162;299.867;39.5046;0;2;1;1.08831;0.27575;-4.03744;1.04901;0.288152;-4.0243;0.272238;-0.0771723;0.939464;3.24531;-1.71043;-13.79;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2692;2695;2019/11/20 17:01:00;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;297;42;5.95814;298.17;40.2701;0;3;1;1.06553;0.293419;-3.88586;1.05397;0.289732;-3.98276;0.329158;-0.0764367;0.960844;2.60365;-1.01735;-8.14239;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2693;2696;2019/11/20 17:01:00;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;296;43;6.15922;296.685;41.126;0;4;1;1.03886;0.308246;-3.75429;1.04943;0.295286;-3.91422;0.32499;-0.0536315;1.12198;2.0889;-0.468084;-3.87631;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2694;2697;2019/11/20 17:01:00;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;295;43;5.69674;295.337;41.7315;0;5;1;1.13196;0.256145;-4.05908;1.07419;0.283544;-3.95768;0.361613;-0.0646545;1.09007;1.8891;-0.224;-1.65915;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2695;2698;2019/11/20 17:01:00;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;293;45;5.88528;294.509;41.7578;1;0;1;1.13196;0.256145;-4.05908;1.07419;0.283544;-3.95768;0.361613;-0.0646545;1.09007;1.8891;-0.224;-1.65915;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2696;2699;2019/11/20 17:01:00;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;291;46;5.62;293.681;41.784;2;0;1;1.13196;0.256145;-4.05908;1.07419;0.283544;-3.95768;0.361613;-0.0646545;1.09007;1.8891;-0.224;-1.65915;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2697;2700;2019/11/20 17:01:00;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;290.667;47.3333;6.37483;291.506;44.29;0;1;1;1.04551;0.302277;-3.60763;1.06559;0.289164;-3.85267;0.290782;-0.0331026;1.29818;1.37054;-0.0109081;0.185356;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
