RS_ID;time;imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; 
7078;117.53102;467.333;0.666667;7.71289;454.256;-4.15284;0;71;1;-0.292222;-0.0361909;-3.13059;-0.21071;-0.0972164;-3.03712;-1.2209;2.01626;-2.04741;-2.85674;3.00586;6.24998;
7079;117.547717;467.333;0.666667;7.71289;454.451;-9.15931;1;0;1;-0.292222;-0.0361909;-3.13059;-0.21071;-0.0972164;-3.03712;-1.2209;2.01626;-2.04741;-2.85674;3.00586;6.24998;
7080;117.564414;467.333;0.666667;7.71289;454.646;-14.166;2;0;1;-0.292222;-0.0361909;-3.13059;-0.21071;-0.0972164;-3.03712;-1.2209;2.01626;-2.04741;-2.85674;3.00586;6.24998;
7081;117.581111;467.333;0.666667;7.71289;454.84;-19.1724;3;0;1;-0.292222;-0.0361909;-3.13059;-0.21071;-0.0972164;-3.03712;-1.2209;2.01626;-2.04741;-2.85674;3.00586;6.24998;
7082;117.597808;467.333;0.666667;7.71289;455.035;-24.1792;4;0;1;-0.292222;-0.0361909;-3.13059;-0.21071;-0.0972164;-3.03712;-1.2209;2.01626;-2.04741;-2.85674;3.00586;6.24998;
7083;117.614505;467.333;0.666667;7.71289;455.229;-29.1856;5;0;1;-0.292222;-0.0361909;-3.13059;-0.21071;-0.0972164;-3.03712;-1.2209;2.01626;-2.04741;-2.85674;3.00586;6.24998;
7084;117.631202;467.333;0.666667;7.71289;455.424;-34.1923;6;0;1;-0.292222;-0.0361909;-3.13059;-0.21071;-0.0972164;-3.03712;-1.2209;2.01626;-2.04741;-2.85674;3.00586;6.24998;
7085;117.647899;467.333;0.666667;7.71289;455.619;-39.1988;7;0;1;-0.292222;-0.0361909;-3.13059;-0.21071;-0.0972164;-3.03712;-1.2209;2.01626;-2.04741;-2.85674;3.00586;6.24998;
7086;117.664597;467.333;0.666667;7.71289;455.813;-44.2055;8;0;1;-0.292222;-0.0361909;-3.13059;-0.21071;-0.0972164;-3.03712;-1.2209;2.01626;-2.04741;-2.85674;3.00586;6.24998;
7087;117.681293;467.333;0.666667;7.71289;456.008;-49.2119;9;0;1;-0.292222;-0.0361909;-3.13059;-0.21071;-0.0972164;-3.03712;-1.2209;2.01626;-2.04741;-2.85674;3.00586;6.24998;
7088;117.697991;467.333;0.666667;7.71289;-1;-1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7089;117.714687;466;405;6.29402;466;405;0;1;1;-0.347546;-2.81615;-2.23713;-0.347546;-2.81615;-2.23713;0;0;0;0;0;0;
7090;117.731385;465.143;404.905;5.29629;466;405;1;0;1;-0.347546;-2.81615;-2.23713;-0.347546;-2.81615;-2.23713;0;0;0;0;0;0;
7091;117.748082;460.789;416.421;6.29799;466;405;2;0;1;-0.347546;-2.81615;-2.23713;-0.347546;-2.81615;-2.23713;0;0;0;0;0;0;
7092;117.764779;457.8;434.8;5.99724;466;405;3;0;1;-0.347546;-2.81615;-2.23713;-0.347546;-2.81615;-2.23713;0;0;0;0;0;0;
7093;117.781476;451;445;6.00192;466;405;4;0;1;-0.347546;-2.81615;-2.23713;-0.347546;-2.81615;-2.23713;0;0;0;0;0;0;
7094;117.798173;448;447;5.97964;466;405;5;0;1;-0.347546;-2.81615;-2.23713;-0.347546;-2.81615;-2.23713;0;0;0;0;0;0;
7095;117.81487;448;447;5.97964;466;405;6;0;1;-0.347546;-2.81615;-2.23713;-0.347546;-2.81615;-2.23713;0;0;0;0;0;0;
7096;117.831568;448;450;6.32811;458.371;424.071;0;1;1;-0.203982;-3.10781;-2.04806;-0.304477;-2.90365;-2.18041;0;0;0;0;0;0;
7097;117.848264;449;453;5.88775;458.31;424.224;1;0;1;-0.203982;-3.10781;-2.04806;-0.304477;-2.90365;-2.18041;0;0;0;0;0;0;
7098;117.864962;452.455;451.909;6.28168;458.249;424.377;2;0;1;-0.203982;-3.10781;-2.04806;-0.304477;-2.90365;-2.18041;0;0;0;0;0;0;
7099;117.881661;452.857;453.524;6.39014;458.188;424.529;3;0;1;-0.203982;-3.10781;-2.04806;-0.304477;-2.90365;-2.18041;0;0;0;0;0;0;
7100;117.898359;452.414;458.207;6.47959;458.127;424.682;4;0;1;-0.203982;-3.10781;-2.04806;-0.304477;-2.90365;-2.18041;0;0;0;0;0;0;
7101;117.915055;450.6;462.05;6.44172;458.066;424.835;5;0;1;-0.203982;-3.10781;-2.04806;-0.304477;-2.90365;-2.18041;0;0;0;0;0;0;
7102;117.931753;450.14;467.814;6.4982;458.005;424.988;6;0;1;-0.203982;-3.10781;-2.04806;-0.304477;-2.90365;-2.18041;0;0;0;0;0;0;
7103;117.948449;449.273;469.273;6.31336;457.944;425.14;7;0;1;-0.203982;-3.10781;-2.04806;-0.304477;-2.90365;-2.18041;0;0;0;0;0;0;
7104;117.965147;448.56;471.36;6.42786;457.883;425.293;8;0;1;-0.203982;-3.10781;-2.04806;-0.304477;-2.90365;-2.18041;0;0;0;0;0;0;
7105;117.981844;447.231;471.077;6.40939;457.822;425.446;9;0;1;-0.203982;-3.10781;-2.04806;-0.304477;-2.90365;-2.18041;0;0;0;0;0;0;
7106;117.998541;445.333;469.333;6.37348;-1;-1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
