RS_ID;imLx_insect;imLy_insect;disparity_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;svelX_insect;svelY_insect;svelZ_insect;saccX_insect;saccY_insect;saccZ_insect;Unnamed: 22;time
7040.0;452.4;216.0;12.4994;456.346;217.757;0.0;33.0;1.0;-0.120805;-0.765645;-1.50291;-0.21670100000000003;-0.754001;-1.48843;2.32513;-0.44488;-0.257013;1.98289;1.04407;4.55415;;1970-01-01 00:00:00.506
7040.0;452.4;216.0;12.4994;456.346;217.757;0.0;33.0;1.0;-0.120805;-0.765645;-1.50291;-0.21670100000000003;-0.754001;-1.48843;2.32513;-0.44488;-0.257013;1.98289;1.04407;4.55415;;1970-01-01 00:00:00.517
7041.0;445.333;215.0;12.4983;446.065;217.74599999999998;0.0;34.0;1.0;-0.0926518;-0.762264;-1.50504;-0.17948599999999998;-0.75648;-1.4934100000000001;2.33269;-0.43262;-0.260745;1.6707900000000002;0.749379;4.2198199999999995;;1970-01-01 00:00:00.528
7042.0;438.909;211.273;12.3566;436.853;216.52700000000002;0.0;35.0;1.0;-0.06781569999999999;-0.7579859999999999;-1.5298;-0.145985;-0.7569319999999999;-1.50433;2.30722;-0.410508;-0.319939;1.21533;0.543321;3.29695;;1970-01-01 00:00:00.539
7043.0;429.6;206.0;12.2121;427.51599999999996;213.94299999999998;0.0;36.0;1.0;-0.0306464;-0.748326;-1.55865;-0.111383;-0.75435;-1.52062;2.276;-0.339652;-0.398038;0.701342;0.707589;2.04334;;1970-01-01 00:00:00.550
7043.0;429.6;206.0;12.2121;427.51599999999996;213.94299999999998;0.0;36.0;1.0;-0.0306464;-0.748326;-1.55865;-0.111383;-0.75435;-1.52062;2.276;-0.339652;-0.398038;0.701342;0.707589;2.04334;;1970-01-01 00:00:00.561
7044.0;422.727;202.18200000000002;12.0862;418.86;210.829;0.0;37.0;1.0;-0.00263971;-0.742495;-1.58276;-0.0787602;-0.750794;-1.53926;2.23737;-0.238119;-0.48461400000000004;0.234575;1.31178;0.783208;;1970-01-01 00:00:00.572
7045.0;418.25;197.75;11.9774;411.462;207.141;0.0;38.0;1.0;0.015957;-0.733274;-1.6063399999999999;-0.0503451;-0.745538;-1.55939;2.17072;-0.129003;-0.598881;-0.419328;2.06882;-0.782996;;1970-01-01 00:00:00.583
7045.0;418.25;197.75;11.9774;411.462;207.141;0.0;38.0;1.0;0.015957;-0.733274;-1.6063399999999999;-0.0503451;-0.745538;-1.55939;2.17072;-0.129003;-0.598881;-0.419328;2.06882;-0.782996;;1970-01-01 00:00:00.594
7046.0;412.25;191.75;11.6528;404.49699999999996;202.545;0.0;39.0;1.0;0.0420501;-0.73148;-1.6639;-0.022626499999999997;-0.74132;-1.59074;2.0773099999999998;-0.026770599999999995;-0.767846;-1.24105;2.9106799999999997;-2.5094;;1970-01-01 00:00:00.605
7047.0;406.714;186.429;11.4622;397.996;197.512;0.0;40.0;1.0;0.066807;-0.723615;-1.70313;0.00420355;-0.736009;-1.62446;1.9798099999999998;0.0656742;-0.983949;-2.1536;3.73595;-4.39318;;1970-01-01 00:00:00.616
7047.0;406.714;186.429;11.4622;397.996;197.512;0.0;40.0;1.0;0.066807;-0.723615;-1.70313;0.00420355;-0.736009;-1.62446;1.9798099999999998;0.0656742;-0.983949;-2.1536;3.73595;-4.39318;;1970-01-01 00:00:00.627
7048.0;402.25;181.75;11.4148;392.17;192.373;0.0;41.0;1.0;0.0865659;-0.708932;-1.7204;0.0289123;-0.7278859999999999;-1.65324;1.8862;0.155377;-1.1849399999999999;-2.97319;4.50098;-6.0896300000000005;;1970-01-01 00:00:00.638
7049.0;399.231;175.231;11.3025;387.293;186.583;0.0;42.0;1.0;0.100732;-0.691088;-1.75185;0.050458300000000005;-0.716846;-1.68282;1.7779;0.24296700000000002;-1.35859;-3.77265;5.02682;-7.488980000000001;;1970-01-01 00:00:00.649
7049.0;399.231;175.231;11.3025;387.293;186.583;0.0;42.0;1.0;0.100732;-0.691088;-1.75185;0.050458300000000005;-0.716846;-1.68282;1.7779;0.24296700000000002;-1.35859;-3.77265;5.02682;-7.488980000000001;;1970-01-01 00:00:00.660
7050.0;396.727;169.09099999999998;10.9943;383.264;180.44799999999998;0.0;43.0;1.0;0.1149;-0.686369;-1.81487;0.0697907;-0.707703;-1.7224400000000002;1.65986;0.317828;-1.5465200000000001;-4.56939;5.23583;-8.733260000000001;;1970-01-01 00:00:00.671
7051.0;394.714;164.429;10.5654;380.005;174.542;0.0;44.0;1.0;0.129055;-0.695191;-1.89953;0.0875698;-0.7039489999999999;-1.7755599999999998;1.54657;0.356747;-1.7910400000000002;-5.2336800000000006;5.08095;-9.99991;;1970-01-01 00:00:00.682
7051.0;394.714;164.429;10.5654;380.005;174.542;0.0;44.0;1.0;0.129055;-0.695191;-1.89953;0.0875698;-0.7039489999999999;-1.7755599999999998;1.54657;0.356747;-1.7910400000000002;-5.2336800000000006;5.08095;-9.99991;;1970-01-01 00:00:00.693
7052.0;395.0;159.0;10.4713;378.027;168.56900000000002;0.0;45.0;1.0;0.128855;-0.6790689999999999;-1.9295;0.0999554;-0.696485;-1.8217400000000001;1.4173799999999999;0.39306199999999997;-1.9969599999999998;-5.77515;4.72485;-10.9074;;1970-01-01 00:00:00.704
7053.0;394.75;154.5;10.4506;376.805;162.851;0.0;46.0;1.0;0.130302;-0.661834;-1.9440400000000002;0.10905899999999999;-0.68609;-1.85843;1.26908;0.43514899999999995;-2.13237;-6.30279;4.31011;-11.1298;;1970-01-01 00:00:00.715
7054.0;396.0;149.429;9.996789999999999;376.597;157.14600000000002;0.0;47.0;1.0;0.12998800000000002;-0.669992;-2.0449200000000003;0.11533800000000001;-0.6812600000000001;-1.91438;1.1065200000000002;0.44725200000000004;-2.32207;-6.89468;3.75144;-11.2181;;1970-01-01 00:00:00.726
7054.0;396.0;149.429;9.996789999999999;376.597;157.14600000000002;0.0;47.0;1.0;0.12998800000000002;-0.669992;-2.0449200000000003;0.11533800000000001;-0.6812600000000001;-1.91438;1.1065200000000002;0.44725200000000004;-2.32207;-6.89468;3.75144;-11.2181;;1970-01-01 00:00:00.737
7055.0;398.0;144.0;9.771239999999999;377.356;151.344;0.0;48.0;1.0;0.12279300000000001;-0.661486;-2.10596;0.117575;-0.6753279999999999;-1.97185;0.93189;0.434123;-2.54725;-7.514710000000001;3.01409;-11.4768;;1970-01-01 00:00:00.748
7056.0;399.75;139.75;9.49848;378.724;145.856;0.0;49.0;1.0;0.11714200000000001;-0.661176;-2.1775700000000002;0.11744500000000001;-0.671082;-2.03357;0.7494029999999999;0.40669;-2.7706;-8.14403;2.1632599999999997;-11.7735;;1970-01-01 00:00:00.759
