ID;RS_ID;time;insect_log;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; valid; posErrX; posErrY; posErrZ; velX; velY; velZ; accX; accY; accZ; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch; dt; velx_sp; vely_sp; velz_sp;
335;338;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400;234;8.43838;396.143;238.851;0;36;1;0.136693;-1.35463;-2.11436;0.131588;-1.36378;-2.07116;0.441657;0.14023;-0.793255;-4.53145;-0.13797;-8.08756;0;0;0;0;0.418806;-1.45463;-2.45371;0;0;0;675;650;845;1087;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
336;339;2019/10/22 18:37:16;0;448.444;357.778;9.42779;448.444;357.778;0;1;1;-0.134061;-1.75832;-1.53019;-0.134061;-1.75832;-1.53019;0;0;0;0;0;0;401;232;8.4622;396.385;236.34;0;37;1;0.130411;-1.34099;-2.11493;0.131235;-1.35694;-2.08429;0.358832;0.114745;-0.928532;-4.76606;-0.804822;-8.88206;1;0;0;0;0.373668;-1.44099;-2.55184;0;0;0;647.851;650;845;1087;1024;224;1024;1024;1024;1;4;0;5.6608;0;0;0; 
337;340;2019/10/22 18:37:16;0;438.182;351;9.43552;447.512;357.162;0;2;1;-0.0796776;-1.72701;-1.54875;-0.117746;-1.74893;-1.53576;0;0;0;0;0;0;401;229;8.36061;396.615;233.582;0;38;1;0.131996;-1.34236;-2.15053;0.131463;-1.35257;-2.10416;0.284819;0.138466;-0.994238;-4.83538;-1.032;-8.9188;1;0;0;0;0.16928;-1.44236;-2.24701;0;0;0;647.851;650;845;1087;1024;224;1024;1024;1024;1;4;0;0.0166982;0;0;0; 
338;341;2019/10/22 18:37:16;0;431.68;347.04;9.43231;444.967;355.535;0;3;1;-0.045308;-1.71014;-1.56087;-0.0960148;-1.73729;-1.54329;0;0;0;0;0;0;403;225;8.20747;397.467;230.333;0;39;1;0.122299;-1.34715;-2.2041;0.128714;-1.35094;-2.13414;0.204835;0.162288;-1.07984;-4.83863;-0.962287;-8.58841;1;0;0;0;0.152698;-1.44715;-2.31022;0;0;0;647.851;650;845;1087;1024;224;1024;1024;1024;1;4;0;0.0166973;0;0;0; 
339;342;2019/10/22 18:37:16;0;424.8;343.04;9.38963;440.77;352.934;0;4;1;-0.00895126;-1.70021;-1.57972;-0.0698957;-1.72617;-1.55422;0;0;0;0;0;0;403.333;221.333;8.07809;398.242;226.836;0;40;1;0.122199;-1.34985;-2.25193;0.126759;-1.35062;-2.16948;0.130213;0.178839;-1.18458;-4.79396;-0.666875;-8.02516;1;0;0;0;0.144814;-1.44985;-2.37115;0;0;0;647.851;650;1024;1024;1024;224;1024;1024;1024;1;4;0;0.0166982;0;0;0; 
340;343;2019/10/22 18:37:16;0;417.778;338.963;9.41954;435.295;349.607;0;5;1;0.0282772;-1.67681;-1.58664;-0.0404438;-1.71136;-1.56395;0;0;0;0;0;0;404.8;218.4;8.05704;399.315;223.396;0;41;1;0.113434;-1.33824;-2.26786;0.122762;-1.3469;-2.19899;0.0516248;0.190375;-1.29506;-4.76147;-0.319125;-7.47023;1;0;0;0;0.128157;-1.43824;-2.40179;0;0;0;647.851;650;1362;1288;1024;224;1024;1024;1024;1;4;0;0.0166973;0;0;0; 
341;344;2019/10/22 18:37:17;0;410.667;334.667;9.45054;428.968;345.769;0;6;1;0.0657318;-1.65241;-1.59398;-0.00859115;-1.69368;-1.57296;0;0;0;0;0;0;407;215;8.0137;400.834;219.854;0;42;1;0.100349;-1.32784;-2.29183;0.116038;-1.34118;-2.22684;-0.0311084;0.204459;-1.39863;-4.74442;0.064963;-6.89913;1;-0.114999;-0.265836;0.870873;0.106408;-1.42784;-2.44383;-2.19722;-4.83821;-2.19722;647.851;766;1063;1224;1024;224;1024;1024;1024;1;4;0;0.0166985;-0.344997;-0.37217;2.17718; 
342;345;2019/10/22 18:37:17;0;403.037;330.815;9.41513;421.987;341.74;0;7;1;0.106416;-1.64162;-1.61127;0.0259109;-1.67806;-1.58445;0;0;0;0;0;0;407.6;210.8;7.94905;402.166;215.989;0;43;1;0.0973986;-1.31667;-2.32505;0.110446;-1.33383;-2.25631;-0.101664;0.214961;-1.52597;-4.6852;0.439095;-6.52478;1;-0.0676616;-0.261386;0.912624;0.0935725;-1.41667;-2.49707;-0.709244;-4.75722;-0.709244;647.851;765;1086;1224;1024;224;1024;1024;1024;1;4;0;0.0166973;-0.202985;-0.36594;2.28156; 
343;346;2019/10/22 18:37:17;0;395.037;326.815;9.40576;414.492;337.583;0;8;1;0.148963;-1.62557;-1.62461;0.0628267;-1.66231;-1.5965;1.80236;0.864527;-0.606268;8.23767;3.01536;-2.72167;408;208;7.99819;403.295;212.338;0;44;1;0.0943046;-1.29403;-2.32042;0.105604;-1.32189;-2.27554;-0.164243;0.251471;-1.59983;-4.60402;0.714635;-6.33273;1;-0.0199603;-0.268286;0.896806;0.0827869;-1.39403;-2.4933;13.3471;6.35605;13.3471;647.851;581;1223;1224;1024;224;1024;1024;1024;1;4;0;0.0166982;-0.0598809;-0.3756;2.24201; 
344;347;2019/10/22 18:37:17;0;387.037;322.815;9.44139;406.652;333.356;0;9;1;0.190683;-1.60182;-1.63017;0.101184;-1.64416;-1.6066;1.86874;0.890528;-0.616521;7.20735;2.5827;-2.29331;409.333;204.667;7.94441;404.568;208.679;0;45;1;0.0865681;-1.28534;-2.34771;0.099893;-1.31092;-2.29719;-0.213614;0.310657;-1.61088;-4.43309;1.02115;-5.91984;1;0.0337966;-0.258823;0.92795;0.0673869;-1.38534;-2.53455;15.2862;6.86628;15.2862;647.851;580;1223;1224;1024;224;1024;1024;1024;1;4;0;0.0166973;0.10139;-0.362352;2.31988; 
345;348;2019/10/22 18:37:17;0;379.034;318.552;9.43562;398.573;329.016;0;10;1;0.233121;-1.58402;-1.64363;0.140765;-1.62612;-1.61771;1.96232;0.933754;-0.623398;5.91398;2.61761;-1.25207;410;201;7.96232;405.731;204.913;0;46;1;0.0821955;-1.26331;-2.35514;0.0945837;-1.29664;-2.31458;-0.256631;0.401898;-1.54584;-4.20434;1.50326;-4.99424;1;0.0833831;-0.262815;0.924555;0.0573816;-1.36331;-2.54226;17.2837;7.35557;17.2837;647.851;573;1223;1224;1024;224;1024;1024;1024;1;4;0;0.0166982;0.250149;-0.36794;2.31139; 
346;349;2019/10/22 18:37:17;0;370.5;313.938;9.28876;390.171;324.493;0;11;1;0.282654;-1.58841;-1.68332;0.183332;-1.61481;-1.63739;2.07082;0.945746;-0.667279;4.77389;1.80615;-1.08938;411;199;7.85533;406.917;201.603;0;47;1;0.0769626;-1.26993;-2.39424;0.0892974;-1.28863;-2.33848;-0.287586;0.473816;-1.48439;-3.87692;2.03361;-3.75245;1;0.135812;-0.244881;0.934199;0.0475199;-1.36993;-2.57159;19.3609;7.83787;19.3609;647.851;577;1224;1224;1024;224;1024;1024;1024;1;4;0;0.0166973;0.407435;-0.342833;2.3355; 
347;350;2019/10/22 18:37:17;0;362.895;308.526;9.36379;381.793;319.606;0;12;1;0.320918;-1.55165;-1.68578;0.224607;-1.59586;-1.65191;2.17355;0.957978;-0.71559;3.92648;0.680172;-1.35607;411;197;7.87198;407.798;198.628;0;48;1;0.0767999;-1.25668;-2.39619;0.0855481;-1.27904;-2.35579;-0.294284;0.532401;-1.40545;-3.3769;2.52949;-2.27871;1;0.180034;-0.239184;0.910614;0.0445739;-1.35668;-2.56252;21.0555;8.10058;21.0555;647.851;588;1224;1224;1024;224;1024;1024;1024;1;4;0;0.0166982;0.540101;-0.334857;2.27654; 
