rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
303525;3377.374177;802;204;23.1866;0;0.201481;4;833.934;215.307;13;0;1;1;-1.53687;-0.756695;-1.38555;-1.54042;-0.761706;-1.40508;1;0.212984;0.300591;1.17146;1;-0.0102408;-0.0111591;-0.0474384;-1;fp_not_a_fp;-1;0.242551;
303526;3377.385303;816;228;23.8273;2;0.711039;3;836.652;216.264;0;1;1;1;-1.58342;-0.858074;-1.46275;-1.55028;-0.784545;-1.41462;1;-0.347881;-0.899956;0.136909;1;-12.6086;-26.9823;-23.2778;0.00399102;fp_not_a_fp;-1;0.242543;
303527;3377.396430;816;228;23.8273;2;0.711039;3;815.644;230.518;1;0;1;1;-1.58806;-0.869739;-1.46266;-1.5619;-0.811136;-1.42738;1;-0.588526;-1.41503;-0.30713;1;-18.0128;-38.5521;-33.2423;-1;fp_not_a_fp;-1;0.242525;
303528;3377.407558;816;228;23.8273;2;0.711039;3;814.137;233.65;2;0;1;1;-1.59572;-0.887842;-1.46813;-1.57602;-0.843087;-1.44477;1;-0.700609;-1.6549;-0.5141;1;-20.5287;-43.9385;-37.8815;-1;fp_not_a_fp;-1;0.242498;
303529;3377.418685;816;228;23.8273;2;0.711039;3;812.129;237.013;3;0;1;1;-1.60477;-0.908942;-1.47618;-1.59299;-0.881149;-1.46743;1;-0.76133;-1.78482;-0.626349;1;-21.8909;-46.8551;-40.3932;-1;fp_not_a_fp;-1;0.242513;
303530;3377.429812;816;228;23.8273;2;0.711039;3;809.884;240.453;4;0;1;1;-1.61458;-0.931665;-1.48563;-1.60078;-0.899547;-1.47315;1;-0.801775;-1.87135;-0.701206;1;-10.1979;-21.825;-18.8305;-1;fp_not_a_fp;-1;0.242518;
303531;3377.440939;816;228;23.8273;2;0.711039;3;807.788;243.763;5;0;1;1;-1.62412;-0.953805;-1.49459;-1.60979;-0.920563;-1.48113;1;-0.825555;-1.9222;-0.745334;1;-5.3254;-11.3947;-9.84523;-1;fp_not_a_fp;-1;0.242527;
303532;3377.452066;816;240;24.5452;2;0.458341;3;805.75;246.994;0;1;1;1;-1.53807;-0.871983;-1.39469;-1.59538;-0.916598;-1.46277;1;0.256346;-0.760072;0.476699;1;21.5013;20.1054;22.2617;0.00387429;fp_not_a_fp;-1;0.242551;
303533;3377.463193;816;240;24.5452;2;0.458341;3;815.276;242.478;1;0;1;1;-1.53389;-0.879188;-1.38802;-1.57766;-0.90916;-1.44073;1;0.718628;-0.265443;0.99739;1;33.2523;34.1381;36.4828;-1;fp_not_a_fp;-1;0.242545;
303534;3377.474321;814;246;25.5494;2;0.157804;4;815.229;244.518;0;1;1;1;-1.47063;-0.856575;-1.32764;-1.54168;-0.890387;-1.40123;1;1.54314;0.232026;1.7774;1;52.6849;47.2586;55.6887;0.00372208;fp_not_a_fp;-1;0.242478;
303535;3377.485447;814;246;25.5494;2;0.157804;4;814.09;248.17;1;0;1;1;-1.45023;-0.85108;-1.30445;-1.4982;-0.864706;-1.3537;1;1.92089;0.471013;2.13883;1;61.7065;53.7706;64.801;-1;fp_not_a_fp;-1;0.242529;
303536;3377.496574;814;246;25.5494;2;0.157804;4;814.286;250.397;2;0;1;1;-1.42508;-0.842527;-1.27669;-1.46996;-0.857342;-1.3242;1;2.12031;0.607739;2.33366;1;41.8786;30.7315;41.7213;-1;fp_not_a_fp;-1;0.242553;
303537;3377.507702;810;252;25.49;4;0.137387;8;814.385;252.798;0;1;1;1;-1.4596;-0.877609;-1.3184;-1.45138;-0.856947;-1.3068;1;1.53659;0.184586;1.63844;1;18.3774;10.111;14.4028;0.00746146;fp_not_a_fp;-1;0.242502;
303538;3377.518829;810;252;25.49;4;0.137387;8;809.385;254.252;1;0;1;1;-1.44139;-0.874934;-1.2993;-1.44408;-0.861537;-1.29971;1;1.30809;0.0168319;1.36103;1;-5.28049;-4.83452;-9.3542;-1;fp_not_a_fp;-1;0.24251;
303539;3377.529955;810;252;25.49;4;0.137387;8;808.511;256.479;2;0;1;1;-1.42718;-0.875046;-1.28476;-1.43831;-0.867529;-1.29479;1;1.20969;-0.0559183;1.23952;1;-15.9787;-11.8387;-20.2052;-1;fp_not_a_fp;-1;0.242477;
303540;3377.541083;806;258;25.112;0;0.209005;3;807.509;258.705;0;1;1;1;-1.46689;-0.910145;-1.32572;-1.44877;-0.884433;-1.30704;1;0.559536;-0.481166;0.561696;1;-35.0657;-24.4643;-39.8106;0;fp_not_a_fp;-1;0.2425;
303541;3377.552210;806;258;25.112;0;0.209005;3;804.755;260.033;1;0;1;1;-1.46284;-0.917001;-1.32194;-1.44958;-0.894281;-1.30793;1;0.265939;-0.674132;0.253302;1;-28.5479;-19.293;-31.1202;-1;fp_not_a_fp;-1;0.242524;
303542;3377.563337;800;262;25.2519;2.82843;0.160084;9;803.448;262.02;0;1;1;1;-1.43648;-0.918128;-1.30993;-1.44835;-0.90508;-1.31059;1;0.412845;-0.680812;0.231204;1;-20.1131;-15.6739;-25.3837;0.00532579;fp_not_a_fp;-1;0.242533;
303543;3377.574465;800;262;25.2519;2.82843;0.160084;9;798.168;263.967;1;0;1;1;-1.43314;-0.926661;-1.30893;-1.44984;-0.917984;-1.31663;1;0.459247;-0.694533;0.204067;1;-16.8597;-14.3476;-23.2632;-1;fp_not_a_fp;-1;0.242482;
303544;3377.585591;800;262;25.2519;2.82843;0.160084;9;796.114;265.909;2;0;1;1;-1.42907;-0.935263;-1.30809;-1.44038;-0.924263;-1.31222;1;0.466412;-0.710231;0.176354;1;-2.09244;-5.14669;-8.65795;-1;fp_not_a_fp;-1;0.242533;
303545;3377.596718;800;262;25.2519;2.82843;0.160084;9;793.974;267.848;3;0;1;1;-1.42402;-0.943472;-1.30667;-1.43068;-0.930881;-1.3084;1;0.46781;-0.720233;0.158743;1;4.53561;-1.03579;-2.12454;-1;fp_not_a_fp;-1;0.242481;
303546;3377.607846;800;262;25.2519;2.82843;0.160084;9;791.789;269.779;4;0;1;1;-1.41854;-0.951539;-1.30504;-1.4262;-0.939233;-1.30718;1;0.47151;-0.724963;0.149931;1;1.31799;-0.991954;-1.82599;-1;fp_not_a_fp;-1;0.242517;
303547;3377.618973;788;272;26.0736;6;0.0663936;16;789.632;271.701;0;1;1;1;-1.34821;-0.92055;-1.24832;-1.40496;-0.937706;-1.29203;1;1.21917;-0.279218;0.777261;1;17.074;9.33126;12.8784;0.0109416;fp_not_a_fp;-1;0.242501;
303548;3377.630100;788;272;26.0736;6;0.0663936;16;785.505;274.054;1;0;1;1;-1.33361;-0.923077;-1.23889;-1.3811;-0.934659;-1.27473;1;1.54002;-0.0883534;1.04549;1;24.1219;13.9724;19.5277;-1;fp_not_a_fp;-1;0.24251;
